구c		궃
구z		궄
구x		궅
구v		궆
구g		궇
구j		궈
궈r		궉
궈R		궊
궉t		궋
궈s		권
권w		궍
권g		궎
궈e		궏
궈f		궐
궐r		궑
궐a		궒
궐q		궓
궐t		궔
궐x		궕
궐v		궖
궐g		궗
궈a		궘
궈q		궙
궙t		궚
궈t		궛
궈T		궜
궈d		궝
궈w		궞
궈c		궟
궈z		궠
궈x		궡
궈v		궢
궈g		궣
구p		궤
궤r		궥
궤R		궦
궥t		궧
궤s		궨
궨w		궩
궨g		궪
궤e		궫
궤f		궬
궬r		궭
궬a		궮
궬q		궯
궬t		궰
궬x		궱
궬v		궲
궬g		궳
궤a		궴
궤q		궵
궵t		궶
궤t		궷
궤T		궸
궤d		궹
궤w		궺
궤c		궻
궤z		궼
궤x		궽
궤v		궾
궤g		궿
구l		귀
귀r		귁
귀R		귂
귁t		귃
귀s		귄
귄w		귅
귄g		귆
귀e		귇
귀f		귈
귈r		귉
귈a		귊
귈q		귋
귈t		귌
귈x		귍
귈v		귎
귈g		귏
귀a		귐
귀q		귑
귑t		귒
귀t		귓
귀T		귔
귀d		귕
귀w		귖
귀c		귗
귀z		귘
귀x		귙
귀v		귚
귀g		귛
ㄱb		규
규r		귝
규R		귞
귝t		귟
규s		균
균w		귡
균g		귢
규e		귣
규f		귤
귤r		귥
귤a		귦
귤q		귧
귤t		귨
귤x		귩
귤v		귪
귤g		귫
규a		귬
규q		귭
귭t		귮
규t		귯
규T		귰
규d		귱
규w		귲
규c		귳
규z		귴
규x		귵
규v		귶
규g		귷
ㄱm		그
그r		극
그R		귺
극t		귻
그s		근
근w		귽
근g		귾
그e		귿
그f		글
글r		긁
글a		긂
글q		긃
글t		긄
글x		긅
글v		긆
글g		긇
그a		금
그q		급
급t		긊
그t		긋
그T		긌
그d		긍
그w		긎
그c		긏
그z		긐
그x		긑
그v		긒
그g		긓
그l		긔
긔r		긕
긔R		긖
긕t		긗
긔s		긘
긘w		긙
긘g		긚
긔e		긛
긔f		긜
긜r		긝
긜a		긞
긜q		긟
긜t		긠
긜x		긡
긜v		긢
긜g		긣
긔a		긤
긔q		긥
긥t		긦
긔t		긧
긔T		긨
긔d		긩
긔w		긪
긔c		긫
긔z		긬
긔x		긭
긔v		긮
긔g		긯
ㄱl		기
기r		긱
기R		긲
긱t		긳
기s		긴
긴w		긵
긴g		긶
기e		긷
기f		길
길r		긹
길a		긺
길q		긻
길t		긼
길x		긽
길v		긾
길g		긿
기a		김
기q		깁
깁t		깂
기t		깃
기T		깄
기d		깅
기w		깆
기c		깇
기z		깈
기x		깉
기v		깊
기g		깋
ㄲk		까
까r		깍
까R		깎
깍t		깏
까s		깐
깐w		깑
깐g		깒
까e		깓
까f		깔
깔r		깕
깔a		깖
깔q		깗
깔t		깘
깔x		깙
깔v		깚
깔g		깛
까a		깜
까q		깝
깝t		깞
까t		깟
까T		깠
까d		깡
까w		깢
까c		깣
까z		깤
까x		깥
까v		깦
까g		깧
ㄲo		깨
깨r		깩
깨R		깪
깩t		깫
깨s		깬
깬w		깭
깬g		깮
깨e		깯
깨f		깰
깰r		깱
깰a		깲
깰q		깳
깰t		깴
깰x		깵
깰v		깶
깰g		깷
깨a		깸
깨q		깹
깹t		깺
깨t		깻
깨T		깼
깨d		깽
깨w		깾
깨c		깿
깨z		꺀
깨x		꺁
깨v		꺂
깨g		꺃
ㄲi		꺄
꺄r		꺅
꺄R		꺆
꺅t		꺇
꺄s		꺈
꺈w		꺉
꺈g		꺊
꺄e		꺋
꺄f		꺌
꺌r		꺍
꺌a		꺎
꺌q		꺏
꺌t		꺐
꺌x		꺑
꺌v		꺒
꺌g		꺓
꺄a		꺔
꺄q		꺕
꺕t		꺖
꺄t		꺗
꺄T		꺘
꺄d		꺙
꺄w		꺚
꺄c		꺛
꺄z		꺜
꺄x		꺝
꺄v		꺞
꺄g		꺟
ㄲO		꺠
꺠r		꺡
꺠R		꺢
꺡t		꺣
꺠s		꺤
꺤w		꺥
꺤g		꺦
꺠e		꺧
꺠f		꺨
꺨r		꺩
꺨a		꺪
꺨q		꺫
꺨t		꺬
꺨x		꺭
꺨v		꺮
꺨g		꺯
꺠a		꺰
꺠q		꺱
꺱t		꺲
꺠t		꺳
꺠T		꺴
꺠d		꺵
꺠w		꺶
꺠c		꺷
꺠z		꺸
꺠x		꺹
꺠v		꺺
꺠g		꺻
ㄲj		꺼
꺼r		꺽
꺼R		꺾
꺽t		꺿
꺼s		껀
껀w		껁
껀g		껂
꺼e		껃
꺼f		껄
껄r		껅
껄a		껆
껄q		껇
껄t		껈
껄x		껉
껄v		껊
껄g		껋
꺼a		껌
꺼q		껍
껍t		껎
꺼t		껏
꺼T		껐
꺼d		껑
꺼w		껒
꺼c		껓
꺼z		껔
꺼x		껕
꺼v		껖
꺼g		껗
ㄲp		께
께r		껙
께R		껚
껙t		껛
께s		껜
껜w		껝
껜g		껞
께e		껟
께f		껠
껠r		껡
껠a		껢
껠q		껣
껠t		껤
껠x		껥
껠v		껦
껠g		껧
께a		껨
께q		껩
껩t		껪
께t		껫
께T		껬
께d		껭
께w		껮
께c		껯
께z		껰
께x		껱
께v		껲
께g		껳
ㄲu		껴
껴r		껵
껴R		껶
껵t		껷
껴s		껸
껸w		껹
껸g		껺
껴e		껻
껴f		껼
껼r		껽
껼a		껾
껼q		껿
껼t		꼀
껼x		꼁
껼v		꼂
껼g		꼃
껴a		꼄
껴q		꼅
꼅t		꼆
껴t		꼇
껴T		꼈
껴d		꼉
껴w		꼊
껴c		꼋
껴z		꼌
껴x		꼍
껴v		꼎
껴g		꼏
ㄲP		꼐
꼐r		꼑
꼐R		꼒
꼑t		꼓
꼐s		꼔
꼔w		꼕
꼔g		꼖
꼐e		꼗
꼐f		꼘
꼘r		꼙
꼘a		꼚
꼘q		꼛
꼘t		꼜
꼘x		꼝
꼘v		꼞
꼘g		꼟
꼐a		꼠
꼐q		꼡
꼡t		꼢
꼐t		꼣
꼐T		꼤
꼐d		꼥
꼐w		꼦
꼐c		꼧
꼐z		꼨
꼐x		꼩
꼐v		꼪
꼐g		꼫
ㄲh		꼬
꼬r		꼭
꼬R		꼮
꼭t		꼯
꼬s		꼰
꼰w		꼱
꼰g		꼲
꼬e		꼳
꼬f		꼴
꼴r		꼵
꼴a		꼶
꼴q		꼷
꼴t		꼸
꼴x		꼹
꼴v		꼺
꼴g		꼻
꼬a		꼼
꼬q		꼽
꼽t		꼾
꼬t		꼿
꼬T		꽀
꼬d		꽁
꼬w		꽂
꼬c		꽃
꼬z		꽄
꼬x		꽅
꼬v		꽆
꼬g		꽇
꼬k		꽈
꽈r		꽉
꽈R		꽊
꽉t		꽋
꽈s		꽌
꽌w		꽍
꽌g		꽎
꽈e		꽏
꽈f		꽐
꽐r		꽑
꽐a		꽒
꽐q		꽓
꽐t		꽔
꽐x		꽕
꽐v		꽖
꽐g		꽗
꽈a		꽘
꽈q		꽙
꽙t		꽚
꽈t		꽛
꽈T		꽜
꽈d		꽝
꽈w		꽞
꽈c		꽟
꽈z		꽠
꽈x		꽡
꽈v		꽢
꽈g		꽣
꼬o		꽤
꽤r		꽥
꽤R		꽦
꽥t		꽧
꽤s		꽨
꽨w		꽩
꽨g		꽪
꽤e		꽫
꽤f		꽬
꽬r		꽭
꽬a		꽮
꽬q		꽯
꽬t		꽰
꽬x		꽱
꽬v		꽲
꽬g		꽳
꽤a		꽴
꽤q		꽵
꽵t		꽶
꽤t		꽷
꽤T		꽸
꽤d		꽹
꽤w		꽺
꽤c		꽻
꽤z		꽼
꽤x		꽽
꽤v		꽾
꽤g		꽿
꼬l		꾀
꾀r		꾁
꾀R		꾂
꾁t		꾃
꾀s		꾄
꾄w		꾅
꾄g		꾆
꾀e		꾇
꾀f		꾈
꾈r		꾉
꾈a		꾊
꾈q		꾋
꾈t		꾌
꾈x		꾍
꾈v		꾎
꾈g		꾏
꾀a		꾐
꾀q		꾑
꾑t		꾒
꾀t		꾓
꾀T		꾔
꾀d		꾕
꾀w		꾖
꾀c		꾗
꾀z		꾘
꾀x		꾙
꾀v		꾚
꾀g		꾛
ㄲy		꾜
꾜r		꾝
꾜R		꾞
꾝t		꾟
꾜s		꾠
꾠w		꾡
꾠g		꾢
꾜e		꾣
꾜f		꾤
꾤r		꾥
꾤a		꾦
꾤q		꾧
꾤t		꾨
꾤x		꾩
꾤v		꾪
꾤g		꾫
꾜a		꾬
꾜q		꾭
꾭t		꾮
꾜t		꾯
꾜T		꾰
꾜d		꾱
꾜w		꾲
꾜c		꾳
꾜z		꾴
꾜x		꾵
꾜v		꾶
꾜g		꾷
ㄲn		꾸
꾸r		꾹
꾸R		꾺
꾹t		꾻
꾸s		꾼
꾼w		꾽
꾼g		꾾
꾸e		꾿
꾸f		꿀
꿀r		꿁
꿀a		꿂
꿀q		꿃
꿀t		꿄
꿀x		꿅
꿀v		꿆
꿀g		꿇
꾸a		꿈
꾸q		꿉
꿉t		꿊
꾸t		꿋
꾸T		꿌
꾸d		꿍
꾸w		꿎
꾸c		꿏
꾸z		꿐
꾸x		꿑
꾸v		꿒
꾸g		꿓
꾸j		꿔
꿔r		꿕
꿔R		꿖
꿕t		꿗
꿔s		꿘
꿘w		꿙
꿘g		꿚
꿔e		꿛
꿔f		꿜
꿜r		꿝
꿜a		꿞
꿜q		꿟
꿜t		꿠
꿜x		꿡
꿜v		꿢
꿜g		꿣
꿔a		꿤
꿔q		꿥
꿥t		꿦
꿔t		꿧
꿔T		꿨
꿔d		꿩
꿔w		꿪
꿔c		꿫
꿔z		꿬
꿔x		꿭
꿔v		꿮
꿔g		꿯
꾸p		꿰
꿰r		꿱
꿰R		꿲
꿱t		꿳
꿰s		꿴
꿴w		꿵
꿴g		꿶
꿰e		꿷
꿰f		꿸
꿸r		꿹
꿸a		꿺
꿸q		꿻
꿸t		꿼
꿸x		꿽
꿸v		꿾
꿸g		꿿
꿰a		뀀
꿰q		뀁
뀁t		뀂
꿰t		뀃
꿰T		뀄
꿰d		뀅
꿰w		뀆
꿰c		뀇
꿰z		뀈
꿰x		뀉
꿰v		뀊
꿰g		뀋
꾸l		뀌
뀌r		뀍
뀌R		뀎
뀍t		뀏
뀌s		뀐
뀐w		뀑
뀐g		뀒
뀌e		뀓
뀌f		뀔
뀔r		뀕
뀔a		뀖
뀔q		뀗
뀔t		뀘
뀔x		뀙
뀔v		뀚
뀔g		뀛
뀌a		뀜
뀌q		뀝
뀝t		뀞
뀌t		뀟
뀌T		뀠
뀌d		뀡
뀌w		뀢
뀌c		뀣
뀌z		뀤
뀌x		뀥
뀌v		뀦
뀌g		뀧
ㄲb		뀨
뀨r		뀩
뀨R		뀪
뀩t		뀫
뀨s		뀬
뀬w		뀭
뀬g		뀮
뀨e		뀯
뀨f		뀰
뀰r		뀱
뀰a		뀲
뀰q		뀳
뀰t		뀴
뀰x		뀵
뀰v		뀶
뀰g		뀷
뀨a		뀸
뀨q		뀹
뀹t		뀺
뀨t		뀻
뀨T		뀼
뀨d		뀽
뀨w		뀾
뀨c		뀿
뀨z		끀
뀨x		끁
뀨v		끂
뀨g		끃
ㄲm		끄
끄r		끅
끄R		끆
끅t		끇
끄s		끈
끈w		끉
끈g		끊
끄e		끋
끄f		끌
끌r		끍
끌a		끎
끌q		끏
끌t		끐
끌x		끑
끌v		끒
끌g		끓
끄a		끔
끄q		끕
끕t		끖
끄t		끗
끄T		끘
끄d		끙
끄w		끚
끄c		끛
끄z		끜
끄x		끝
끄v		끞
끄g		끟
끄l		끠
끠r		끡
끠R		끢
끡t		끣
끠s		끤
끤w		끥
끤g		끦
끠e		끧
끠f		끨
끨r		끩
끨a		끪
끨q		끫
끨t		끬
끨x		끭
끨v		끮
끨g		끯
끠a		끰
끠q		끱
끱t		끲
끠t		끳
끠T		끴
끠d		끵
끠w		끶
끠c		끷
끠z		끸
끠x		끹
끠v		끺
끠g		끻
ㄲl		끼
끼r		끽
끼R		끾
끽t		끿
끼s		낀
낀w		낁
낀g		낂
끼e		낃
끼f		낄
낄r		낅
낄a		낆
낄q		낇
낄t		낈
낄x		낉
낄v		낊
낄g		낋
끼a		낌
끼q		낍
낍t		낎
끼t		낏
끼T		낐
끼d		낑
끼w		낒
끼c		낓
끼z		낔
끼x		낕
끼v		낖
끼g		낗
ㄴk		나
나r		낙
나R		낚
낙t		낛
나s		난
난w		낝
난g		낞
나e		낟
나f		날
날r		낡
날a		낢
날q		낣
날t		낤
날x		낥
날v		낦
날g		낧
나a		남
나q		납
납t		낪
나t		낫
나T		났
나d		낭
나w		낮
나c		낯
나z		낰
나x		낱
나v		낲
나g		낳
ㄴo		내
내r		낵
내R		낶
낵t		낷
내s		낸
낸w		낹
낸g		낺
내e		낻
내f		낼
낼r		낽
낼a		낾
낼q		낿
낼t		냀
낼x		냁
낼v		냂
낼g		냃
내a		냄
내q		냅
냅t		냆
내t		냇
내T		냈
내d		냉
내w		냊
내c		냋
내z		냌
내x		냍
내v		냎
내g		냏
ㄴi		냐
냐r		냑
냐R		냒
냑t		냓
냐s		냔
냔w		냕
냔g		냖
냐e		냗
냐f		냘
냘r		냙
냘a		냚
냘q		냛
냘t		냜
냘x		냝
냘v		냞
냘g		냟
냐a		냠
냐q		냡
냡t		냢
냐t		냣
냐T		냤
냐d		냥
냐w		냦
냐c		냧
냐z		냨
냐x		냩
냐v		냪
냐g		냫
ㄴO		냬
냬r		냭
냬R		냮
냭t		냯
냬s		냰
냰w		냱
냰g		냲
냬e		냳
냬f		냴
냴r		냵
냴a		냶
냴q		냷
냴t		냸
냴x		냹
냴v		냺
냴g		냻
냬a		냼
냬q		냽
냽t		냾
냬t		냿
냬T		넀
냬d		넁
냬w		넂
냬c		넃
냬z		넄
냬x		넅
냬v		넆
냬g		넇
ㄴj		너
너r		넉
너R		넊
넉t		넋
너s		넌
넌w		넍
넌g		넎
너e		넏
너f		널
널r		넑
널a		넒
널q		넓
널t		넔
널x		넕
널v		넖
널g		넗
너a		넘
너q		넙
넙t		넚
너t		넛
너T		넜
너d		넝
너w		넞
너c		넟
너z		넠
너x		넡
너v		넢
너g		넣
ㄴp		네
네r		넥
네R		넦
넥t		넧
네s		넨
넨w		넩
넨g		넪
네e		넫
네f		넬
넬r		넭
넬a		넮
넬q		넯
넬t		넰
넬x		넱
넬v		넲
넬g		넳
네a		넴
네q		넵
넵t		넶
네t		넷
네T		넸
네d		넹
네w		넺
네c		넻
네z		넼
네x		넽
네v		넾
네g		넿
ㄴu		녀
녀r		녁
녀R		녂
녁t		녃
녀s		년
년w		녅
년g		녆
녀e		녇
녀f		녈
녈r		녉
녈a		녊
녈q		녋
녈t		녌
녈x		녍
녈v		녎
녈g		녏
녀a		념
녀q		녑
녑t		녒
녀t		녓
녀T		녔
녀d		녕
녀w		녖
녀c		녗
녀z		녘
녀x		녙
녀v		녚
녀g		녛
ㄴP		녜
녜r		녝
녜R		녞
녝t		녟
녜s		녠
녠w		녡
녠g		녢
녜e		녣
녜f		녤
녤r		녥
녤a		녦
녤q		녧
녤t		녨
녤x		녩
녤v		녪
녤g		녫
녜a		녬
녜q		녭
녭t		녮
녜t		녯
녜T		녰
녜d		녱
녜w		녲
녜c		녳
녜z		녴
녜x		녵
녜v		녶
녜g		녷
ㄴh		노
노r		녹
노R		녺
녹t		녻
노s		논
논w		녽
논g		녾
노e		녿
노f		놀
놀r		놁
놀a		놂
놀q		놃
놀t		놄
놀x		놅
놀v		놆
놀g		놇
노a		놈
노q		놉
놉t		놊
노t		놋
노T		놌
노d		농
노w		놎
노c		놏
노z		놐
노x		놑
노v		높
노g		놓
노k		놔
놔r		놕
놔R		놖
놕t		놗
놔s		놘
놘w		놙
놘g		놚
놔e		놛
놔f		놜
놜r		놝
놜a		놞
놜q		놟
놜t		놠
놜x		놡
놜v		놢
놜g		놣
놔a		놤
놔q		놥
놥t		놦
놔t		놧
놔T		놨
놔d		놩
놔w		놪
놔c		놫
놔z		놬
놔x		놭
놔v		놮
놔g		놯
노o		놰
놰r		놱
놰R		놲
놱t		놳
놰s		놴
놴w		놵
놴g		놶
놰e		놷
놰f		놸
놸r		놹
놸a		놺
놸q		놻
놸t		놼
놸x		놽
놸v		놾
놸g		놿
놰a		뇀
놰q		뇁
뇁t		뇂
놰t		뇃
놰T		뇄
놰d		뇅
놰w		뇆
놰c		뇇
놰z		뇈
놰x		뇉
놰v		뇊
놰g		뇋
노l		뇌
뇌r		뇍
뇌R		뇎
뇍t		뇏
뇌s		뇐
뇐w		뇑
뇐g		뇒
뇌e		뇓
뇌f		뇔
뇔r		뇕
뇔a		뇖
뇔q		뇗
