"		ᆰ
#		ᆽ
$		ᆵ
%		ᆴ
&		=
=		*
~		+
q		ᆺ
w		ᆯ
e		ㅕ
r		ㅐ
t		ㅓ
y		ㄹ
u		ㄷ
i		ㅁ
o		ㅊ
p		ㅍ
Q		ᇁ
W		ᇀ
E		ᆬ
R		ᆶ
T		ᆳ
Y		五
U		六
I		七
O		八
P		九
{		『
a		ᆼ
s		ᆫ
d		ㅣ
f		ㅏ
g		ㅡ
h		ㄴ
j		ㅇ
k		ㄱ
l		ㅈ
;		ㅂ
:		ㅌ
A		ᆮ
S		ᆭ
D		ᆲ
F		ᆱ
G		ㅒ
H		〇
J		一
K		二
L		三
+		四
*		·
}		』
z		ᆷ
x		ᆨ
c		ㅔ
v		ㅗ
b		ㅜ
n		ㅅ
m		ㅎ
/		ㅗ
Z		ᆾ
X		ᆹ
C		ᆿ
V		ᆪ
B		？
N		“
M		”
?		！
ㄱ/		고
ㄱ4		교
ㄱ5		규
ㄱ6		갸
ㄱ7		계
ㄱ8		긔
ㄱ9		구
ㄱG		걔
ㄱb		구
ㄱc		게
ㄱd		기
ㄱe		겨
ㄱf		가
ㄱg		그
ㄱk		ㄲ
ㄱr		개
ㄱt		거
ㄱv		고
ㄲ/		꼬
ㄲ4		꾜
ㄲ5		뀨
ㄲ6		꺄
ㄲ7		꼐
ㄲ8		끠
ㄲ9		꾸
ㄲG		꺠
ㄲb		꾸
ㄲc		께
ㄲd		끼
ㄲe		껴
ㄲf		까
ㄲg		끄
ㄲr		깨
ㄲt		꺼
ㄲv		꼬
ㄴ/		노
ㄴ4		뇨
ㄴ5		뉴
ㄴ6		냐
ㄴ7		녜
ㄴ8		늬
ㄴ9		누
ㄴG		냬
ㄴb		누
ㄴc		네
ㄴd		니
ㄴe		녀
ㄴf		나
ㄴg		느
ㄴr		내
ㄴt		너
ㄴv		노
ㄷ/		도
ㄷ4		됴
ㄷ5		듀
ㄷ6		댜
ㄷ7		뎨
ㄷ8		듸
ㄷ9		두
ㄷG		댸
ㄷb		두
ㄷc		데
ㄷd		디
ㄷe		뎌
ㄷf		다
ㄷg		드
ㄷr		대
ㄷt		더
ㄷu		ㄸ
ㄷv		도
ㄸ/		또
ㄸ4		뚀
ㄸ5		뜌
ㄸ6		땨
ㄸ7		뗴
ㄸ8		띄
ㄸ9		뚜
ㄸG		떄
ㄸb		뚜
ㄸc		떼
ㄸd		띠
ㄸe		뗘
ㄸf		따
ㄸg		뜨
ㄸr		때
ㄸt		떠
ㄸv		또
ㄹ/		로
ㄹ4		료
ㄹ5		류
ㄹ6		랴
ㄹ7		례
ㄹ8		릐
ㄹ9		루
ㄹG		럐
ㄹb		루
ㄹc		레
ㄹd		리
ㄹe		려
ㄹf		라
ㄹg		르
ㄹr		래
ㄹt		러
ㄹv		로
ㅁ/		모
ㅁ4		묘
ㅁ5		뮤
ㅁ6		먀
ㅁ7		몌
ㅁ8		믜
ㅁ9		무
ㅁG		먜
ㅁb		무
ㅁc		메
ㅁd		미
ㅁe		며
ㅁf		마
ㅁg		므
ㅁr		매
ㅁt		머
ㅁv		모
ㅂ/		보
ㅂ4		뵤
ㅂ5		뷰
ㅂ6		뱌
ㅂ7		볘
ㅂ8		븨
ㅂ9		부
ㅂ;		ㅃ
ㅂG		뱨
ㅂb		부
ㅂc		베
ㅂd		비
ㅂe		벼
ㅂf		바
ㅂg		브
ㅂr		배
ㅂt		버
ㅂv		보
ㅃ/		뽀
ㅃ4		뾰
ㅃ5		쀼
ㅃ6		뺘
ㅃ7		뼤
ㅃ8		쁴
ㅃ9		뿌
ㅃG		뺴
ㅃb		뿌
ㅃc		뻬
ㅃd		삐
ㅃe		뼈
ㅃf		빠
ㅃg		쁘
ㅃr		빼
ㅃt		뻐
ㅃv		뽀
ㅅ/		소
ㅅ4		쇼
ㅅ5		슈
ㅅ6		샤
ㅅ7		셰
ㅅ8		싀
ㅅ9		수
ㅅG		섀
ㅅb		수
ㅅc		세
ㅅd		시
ㅅe		셔
ㅅf		사
ㅅg		스
ㅅn		ㅆ
ㅅr		새
ㅅt		서
ㅅv		소
ㅆ/		쏘
ㅆ4		쑈
ㅆ5		쓔
ㅆ6		쌰
ㅆ7		쎼
ㅆ8		씌
ㅆ9		쑤
ㅆG		썌
ㅆb		쑤
ㅆc		쎄
ㅆd		씨
ㅆe		쎠
ㅆf		싸
ㅆg		쓰
ㅆr		쌔
ㅆt		써
ㅆv		쏘
ㅇ/		오
ㅇ4		요
ㅇ5		유
ㅇ6		야
ㅇ7		예
ㅇ8		의
ㅇ9		우
ㅇG		얘
ㅇb		우
ㅇc		에
ㅇd		이
ㅇe		여
ㅇf		아
ㅇg		으
ㅇr		애
ㅇt		어
ㅇv		오
ㅈ/		조
ㅈ4		죠
ㅈ5		쥬
ㅈ6		쟈
ㅈ7		졔
ㅈ8		즤
ㅈ9		주
ㅈG		쟤
ㅈb		주
ㅈc		제
ㅈd		지
ㅈe		져
ㅈf		자
ㅈg		즈
ㅈl		ㅉ
ㅈr		재
ㅈt		저
ㅈv		조
ㅉ/		쪼
ㅉ4		쬬
ㅉ5		쮸
ㅉ6		쨔
ㅉ7		쪠
ㅉ8		쯰
ㅉ9		쭈
ㅉG		쨰
ㅉb		쭈
ㅉc		쩨
ㅉd		찌
ㅉe		쪄
ㅉf		짜
ㅉg		쯔
ㅉr		째
ㅉt		쩌
ㅉv		쪼
ㅊ/		초
ㅊ4		쵸
ㅊ5		츄
ㅊ6		챠
ㅊ7		쳬
ㅊ8		츼
ㅊ9		추
ㅊG		챼
ㅊb		추
ㅊc		체
ㅊd		치
ㅊe		쳐
ㅊf		차
ㅊg		츠
ㅊr		채
ㅊt		처
ㅊv		초
ㅋ/		코
ㅋ4		쿄
ㅋ5		큐
ㅋ6		캬
ㅋ7		켸
ㅋ8		킈
ㅋ9		쿠
ㅋG		컈
ㅋb		쿠
ㅋc		케
ㅋd		키
ㅋe		켜
ㅋf		카
ㅋg		크
ㅋr		캐
ㅋt		커
ㅋv		코
ㅌ/		토
ㅌ4		툐
ㅌ5		튜
ㅌ6		탸
ㅌ7		톄
ㅌ8		틔
ㅌ9		투
ㅌG		턔
ㅌb		투
ㅌc		테
ㅌd		티
ㅌe		텨
ㅌf		타
ㅌg		트
ㅌr		태
ㅌt		터
ㅌv		토
ㅍ/		포
ㅍ4		표
ㅍ5		퓨
ㅍ6		퍄
ㅍ7		폐
ㅍ8		픠
ㅍ9		푸
ㅍG		퍠
ㅍb		푸
ㅍc		페
ㅍd		피
ㅍe		펴
ㅍf		파
ㅍg		프
ㅍr		패
ㅍt		퍼
ㅍv		포
ㅎ/		호
ㅎ4		효
ㅎ5		휴
ㅎ6		햐
ㅎ7		혜
ㅎ8		희
ㅎ9		후
ㅎG		햬
ㅎb		후
ㅎc		헤
ㅎd		히
ㅎe		혀
ㅎf		하
ㅎg		흐
ㅎr		해
ㅎt		허
ㅎv		호
가!		갂
가"		갉
가#		갖
가$		갎
가%		갍
가1		갛
가2		갔
가3		갑
가A		갇
가C		갘
가D		갋
